Code,Town,Year,2010 Census Units,Gov Assisted,Tenant Rental Assistance, Single Family CHFA/ USDA Mortgages,Deed Restricted Units,Total Assisted Units,Percent Affordable
1,Andover,2016,1317,18,0,22,0,40,3.04
2,Ansonia,2016,8148,347,658,104,9,1118,13.72
3,Ashford,2016,1903,32,2,33,0,67,3.52
4,Avon,2016,7389,244,8,31,0,283,3.83
5,Barkhamsted,2016,1589,0,7,13,0,20,1.26
6,Beacon Falls,2016,2509,0,3,34,0,37,1.47
7,Berlin,2016,8140,556,47,102,10,715,8.78
8,Bethany,2016,2044,0,2,7,1,10,0.49
9,Bethel,2016,7310,152,22,98,69,341,4.66
10,Bethlehem,2016,1575,24,0,4,0,28,1.78
11,Bloomfield,2016,9019,591,93,292,0,976,10.82
12,Bolton,2016,2015,0,2,18,0,20,0.99
13,Bozrah,2016,1059,0,3,30,0,33,3.12
14,Branford,2016,13972,243,63,145,0,451,3.23
15,Bridgeport,2016,57012,6279,4102,900,19,11300,19.82
16,Bridgewater,2016,881,0,0,4,0,4,0.45
17,Bristol,2016,27011,1916,844,931,0,3691,13.66
18,Brookfield,2016,6562,83,22,74,77,256,3.9
19,Brooklyn,2016,3235,231,12,103,0,346,10.7
20,Burlington,2016,3389,42,0,30,0,72,2.12
21,Canaan,2016,779,35,5,15,1,56,7.19
22,Canterbury,2016,2043,76,1,62,0,139,6.8
23,Canton,2016,4339,211,15,46,32,304,7.01
24,Chaplin,2016,988,0,0,33,0,33,3.34
25,Cheshire,2016,10424,259,20,69,17,365,3.5
26,Chester,2016,1923,23,3,14,0,40,2.08
27,Clinton,2016,6065,84,16,34,0,134,2.21
28,Colchester,2016,6182,364,40,120,0,524,8.48
29,Colebrook,2016,722,0,0,7,1,8,1.11
30,Columbia,2016,2308,40,2,56,0,98,4.25
31,Cornwall,2016,1007,28,2,3,0,33,3.28
32,Coventry,2016,5099,108,4,117,20,249,4.88
33,Cromwell,2016,6001,212,7,161,0,380,6.33
34,Danbury,2016,31154,1588,926,468,296,3278,10.52
35,Darien,2016,7074,136,6,1,98,241,3.41
36,Deep River,2016,2096,26,3,20,0,49,2.34
