,,,,,,,,,,,
,Day,Date,Open,High,Low,Close,SMAVG (50) on Close,SMAVG (100) on Close,SMAVG (200) on Close,Volume,SMAVG (150
,Fr,11/6/2020,11.39,11.5,10.04,10.1399,12.4549,10.8426,8.9777,165.799k,255.234k
,Th,11/5/2020,10.02,10.79,9.9,10.43,12.4531,10.8352,8.9645,288.988k,268.017k
,We,11/4/2020,10.15,10.19,9.71,9.82,12.4501,10.8239,8.9484,319.232k,264.428k
,Tu,11/3/2020,9.77,10.19,9.6,10.07,12.4603,10.8186,8.9355,150.105k,260.979k
,Mo,11/2/2020,10.15,10.3056,9.47,9.5,12.4609,10.8084,8.9209,184.79k,281.511k
,,,,,,,,,,,
,Fr,10/30/2020,9.94,10.33,9.8,10.05,12.4705,10.8025,8.9086,257.674k,308.012k
,Th,10/29/2020,10.73,10.9089,9.86,10.155,12.4661,10.7999,8.8937,448.163k,312.873k
,We,10/28/2020,10.55,11.25,10.55,10.72,12.465,10.7957,8.8813,208.218k,309.953k
,Tu,10/27/2020,11.1,11.185,10.57,10.8,12.4512,10.7818,8.8665,193.892k,352.209k
,Mo,10/26/2020,11.81,11.81,11.11,11.25,12.4352,10.7633,8.8508,227.702k,351.428k
,,,,,,,,,,,
,Fr,10/23/2020,12.82,12.83,11.74,12.07,12.411,10.7408,8.8339,201.245k,346.995k
,Th,10/22/2020,12.41,12.805,12.25,12.67,12.371,10.7158,8.8118,200.196k,349.124k
,We,10/21/2020,11.82,13.0431,11.77,12.43,12.3156,10.6826,8.7864,439.685k,352.7k
,Tu,10/20/2020,11.98,12.118,11.4,11.82,12.261,10.6487,8.7617,208.746k,344.859k
,Mo,10/19/2020,12.25,12.3914,11.48,11.7,12.2266,10.6158,8.7402,334.08k,360.973k
,,,,,,,,,,,
,Fr,10/16/2020,12.87,13.02,12.19,12.2,12.1948,10.5829,8.719,357.541k,360.943k
,Th,10/15/2020,12.68,12.85,12.3,12.66,12.1478,10.5497,8.696,235.158k,353.057k
,We,10/14/2020,12.94,13.34,12.7606,13.06,12.0878,10.512,8.67,267.485k,363.335k
,Tu,10/13/2020,13.6,13.95,12.84,12.84,12.0126,10.4632,8.6413,458.086k,362.592k
,Mo,10/12/2020,13.61,14.69,13.61,13.81,11.9372,10.4157,8.6138,582.303k,349.206k
,,,,,,,,,,,
,Fr,10/9/2020,13,13.56,12.95,13.43,11.8362,10.3576,8.5823,330.592k,341.871k
,Th,10/8/2020,13.44,13.96,12.66,12.97,11.747,10.2998,8.5522,404.371k,347.878k
,We,10/7/2020,11.8,13.4,11.8,13.2,11.6687,10.2493,8.5256,842.06k,351.711k
,Tu,10/6/2020,11.98,12.1392,11.6,11.64,11.5867,10.1926,8.4959,182.173k,326.603k
,Mo,10/5/2020,11.83,12.11,11.8,11.99,11.5353,10.1517,8.475,161.211k,342.025k
,,,,,,,,,,,
,Fr,10/2/2020,11.27,11.96,11.25,11.73,11.4669,10.1072,8.4514,233.173k,360.02k
,Th,10/1/2020,12.3,12.44,11.89,12.11,11.4075,10.0658,8.4287,253.83k,367.105k
,We,9/30/2020,12.42,12.61,11.8,12.22,11.3407,10.0189,8.4031,322.082k,395.684k
,Tu,9/29/2020,11.52,12.61,11.52,12.41,11.2731,9.9692,8.3765,450.451k,423.623k
,Mo,9/28/2020,11.76,12.14,11.35,11.62,11.2051,9.9244,8.3492,333.625k,421.615k
,,,,,,,,,,,
,Fr,9/25/2020,11.82,11.95,11.5177,11.65,11.1385,9.8883,8.3255,239.253k,442.573k
,Th,9/24/2020,12.32,12.4899,11.47,11.82,11.0737,9.8518,8.3018,389.331k,463.248k
,We,9/23/2020,13.01,13.24,12.36,12.5,11.0105,9.8103,8.2764,256.346k,485.361k
