budget,popularity,vote_average,vote_count,revenue,runtime
237000000,150.437577,7.2,11800,2787965087,162
300000000,139.082615,6.9,4500,961000000,169
245000000,107.376788,6.3,4466,880674609,148
250000000,112.31295,7.6,9106,1084939099,165
260000000,43.926995,6.1,2124,284139100,132
258000000,115.699814,5.9,3576,890871626,139
260000000,48.681969,7.4,3330,591794936,100
280000000,134.279229,7.3,6767,1405403694,141
250000000,98.885637,7.4,5293,933959197,153
250000000,155.790452,5.7,7004,873260194,151
270000000,57.925623,5.4,1400,391081192,154
200000000,107.928811,6.1,2965,586090727,106
200000000,145.847379,7,5246,1065659812,151
255000000,49.046956,5.9,2311,89289910,149
225000000,99.398009,6.5,6359,662845518,143
225000000,53.978602,6.3,1630,419651413,150
220000000,144.448633,7.4,11776,1519557910,143
380000000,135.413856,6.4,4948,1045713802,136
225000000,52.035179,6.2,4160,624026776,106
250000000,120.965743,7.1,4760,956019788,144
215000000,89.866276,6.5,6586,752215857,136
200000000,37.668301,6.2,1398,310669540,140
250000000,94.370564,7.6,4524,958400000,161
180000000,42.990906,5.8,1303,372234864,113
207000000,61.22601,6.6,2337,550000000,187
200000000,100.025899,7.5,7562,1845034188,194
250000000,198.372395,7.1,7241,1153304495,147
209000000,64.928382,5.5,2114,303025485,131
150000000,418.708552,6.5,8662,1513528810,124
200000000,93.004993,6.9,7604,1108561013,143
200000000,35.149586,6.7,4321,783766341,127
200000000,77.68208,6.8,8806,1215439994,130
200000000,78.530105,6.4,4645,1025491110,108
210000000,3.857526,6.3,3525,459359555,104
200000000,89.186492,7,3528,743559607,104
150000000,21.939663,6,3138,836297228,150
210000000,116.840296,5.8,3095,1091405097,165
200000000,46.985445,5.7,3530,491868548,130
200000000,89.270217,6.5,4179,705717432,142
170000000,73.79505,6.3,2841,400062763,125
200000000,49.98659,5.8,2033,559852396,106
200000000,51.872839,5.1,2487,219851172,114
200000000,59.995418,7.6,4597,1066969703,103
200000000,71.862892,5.9,2463,371353001,115
190000000,102.322217,7.3,4176,1506249360,137
200000000,81.834855,6.7,5560,531865000,116
250000000,118.078691,7.5,6032,747862775,131
190000000,78.291018,7.4,4418,467365246,132
195000000,43.349855,5.5,2598,197687603,114
105000000,61.196071,7.3,3769,351040419,143
150000000,62.169881,6.2,2317,335154643,116
180000000,56.523205,6.7,4794,407602906,131
195000000,28.529607,6.1,3299,1123746996,154
185000000,75.674458,5.7,2495,786636033,122
175000000,51.692953,6.6,1736,331926147,93
185000000,125.114374,6.7,4641,538983207,93
185000000,65.352913,6.6,2568,343471816,122
180000000,66.390712,7.8,6296,521311860,98
140000000,22.57178,6.1,783,258022233,91
200000000,45.274225,5.6,4903,769653595,158
200000000,39.744242,6.6,1095,325233863,96
176000003,85.36908,5.2,2768,183987723,124
180000000,42.741719,5.5,2430,356743061,109
180000000,67.391328,6.7,2629,748806957,143
178000000,139.272042,6.4,4721,543934787,144
185000000,187.322927,8.2,12002,1004558444,152
175000000,92.201962,7.7,6870,735099082,96
175000000,36.167578,6,1423,381509870,94
140000000,120.725053,7.4,8776,585174222,126
170000000,32.319043,7,2141,185770160,126
170000000,40.748915,5.1,1020,222104681,106
145000000,60.034162,5.2,1387,401128639,112
175000000,90.23792,5.9,7458,745000000,123
175000000,27.082182,5.3,1151,173000000,96
178000000,79.456485,7.6,4858,370541256,113
175000000,44.640292,5.9,992,264218220,135
175000000,32.852443,5.6,1962,302469017,118
175000000,128.655964,8,6560,857611174,94
175000000,94.199316,6.7,2892,966550600,106
200000000,77.300194,6.6,6849,623933331,124
170000000,77.178973,5.8,3118,396600000,127
180000000,110.620647,7,4496,758539785,97
170000000,243.791743,7.3,4410,710644566,130
27000000,2.418535,4.8,34,0,109
175000000,41.796339,5.9,1326,150962475,119
170000000,72.225265,7.6,5764,714766572,136
165000000,44.041186,6,1959,752600867,93
190000000,130.311355,6.2,2846,209154322,130
165000000,203.73459,7.8,6135,652105443,102
165000000,62.341073,7.1,4570,471222889,108
165000000,47.323228,6.4,1474,305875730,100
165000000,48.775723,4.9,2491,389681935,120
165000000,67.263269,7.5,4227,494878759,98
200000000,69.405188,5.9,2143,435000000,109
170000000,481.098624,7.9,9742,773328629,121
165000000,724.247784,8.1,10867,675120017,169
160000000,167.58371,8.1,13752,825532764,148
15000000,9.476999,6.5,143,77000000,120
250000000,108.849621,7,8297,1021103568,169
38000000,6.909942,6.6,3428,207283925,106
150000000,60.269279,7.3,3292,333932083,166
160000000,3.195174,7.1,5181,353624124,132
160000000,127.284427,6.6,3984,653428261,137
150000000,35.580815,5.8,1470,215283742,109
160000000,21.133748,5.5,583,181674817,99
170000000,56.268916,6.5,1725,299370084,113
160000000,42.986467,6,2278,798958165,93
160000000,63.148529,6.3,2268,433677183,123
155000000,202.042635,5.8,3631,440603537,126
155000000,49.661984,6.2,1514,415686217,113
140000000,34.20669,6.6,1791,449220945,183
150000000,25.468493,6.6,4040,709709780,144
155000000,39.019229,5.6,927,167298192,175
150000000,78.144395,7.4,5494,938212738,138
150000000,101.250416,7.5,5608,895921036,157
150000000,56.758411,6.2,2961,624029371,92
150000000,70.867401,6.9,4853,585349010,101
150000000,53.905592,6.7,3624,474968763,115
150000000,65.677399,7.5,4369,623722818,111
150000000,115.040024,7.5,7359,374218673,140
150000000,44.141021,6.2,1810,603900354,89
150000000,81.781591,5.9,1971,413106170,105
150000000,5.954334,6.2,4021,373062864,107
150000000,73.313918,6.4,3096,424988211,129
150000000,165.125366,7.3,5295,1274219009,102
150000000,70.78591,6.7,3443,738599701,138
170000000,99.499595,6.8,4755,644571402,112
150000000,434.278564,7.2,9427,378858340,120
150000000,67.447636,6.5,2129,356613439,138
150000000,86.493424,6.6,6525,449326618,115
150000000,41.845878,6.3,1750,309979994,98
150000000,26.710398,5.1,510,292817841,88
150000000,44.927635,5.5,1431,301000000,99
150000000,50.306728,5.7,2320,245527149,113
150000000,114.522237,7.1,3224,682330139,131
150000000,21.214571,5.5,549,0,102
150000000,29.332905,5.7,1171,287594577,91
150000000,51.247321,6.7,1880,665692281,91
150000000,33.769336,4.7,1151,318502923,103
150000000,63.079003,6.5,2028,397850012,126
150000000,39.004588,6.4,1891,205366737,131
150000000,12.362599,5.5,199,38992758,88
149000000,22.550135,6,874,64459316,85
150000000,48.03528,5.9,954,128388320,111
145000000,38.73494,6.7,843,272912430,92
175000000,66.803149,6.9,2759,497409852,163
145000000,44.989192,6.4,1808,746921274,93
