ALand,AWater,Lat,Lon,Mean,Median,Stdev,sum_w
10894952,909156,30.77145,-88.079697,38773,30506,33101,1638.2605130917
26070325,23254,31.708516,-85.611039,37725,19528,43789,258.0176846855
44835274,261034,33.191452,-86.615618,54606,31930,57348,926.0309997503
36878729,2374530,30.874343,-88.009442,63919,52814,47707,378.1146191029
16204185,413605152,30.250913,-88.171268,77948,67225,54270,282.3203278439
8913021,26837,34.045414,-86.88267,50715,42643,35886,173.3259585997
8826252,91015,31.09144,-87.055345,33737,23610,28256,758.7713223721
10222339,176500,32.544337,-86.336446,46319,40242,38941,397.0525642394
10544874,78981,34.326504,-86.765318,57994,39591,47235,137.4960385156
45178321,6034534,33.168097,-86.442774,54807,41712,51359,380.7282380954
145527967,924063,34.457329,-85.689447,47929,38947,44430,3621.6303189842
96637272,3060329,34.009563,-86.015643,42251,28811,41397,10716.1392370522
16154540,0,31.639134,-86.746762,27993,19757,27656,553.4382141465
16819854,75870,33.060835,-86.052333,31229,22745,27452,528.0848846896
6156793,24951,32.700968,-87.5937,36439,21136,45043,775.2524845925
5028328,0,33.944319,-87.870368,56934,39047,53934,37.2643315106
16152099,37439,31.105348,-85.691225,41057,21608,45280,770.5658391739
53950336,833954,33.285635,-86.874488,93682,300000,55763,359.4448282936
30893300,423908,33.989682,-85.862873,57202,46738,44401,1140.748189576
6618368,135412,31.238158,-86.325104,49699,34049,48287,77.3974208024
19297932,0,34.0372,-86.147175,51926,300000,28590,179.827251801
7948840,0,33.580891,-87.986179,44572,34725,36562,152.1953911642
12755795,8595968,34.545063,-86.09335,56029,31635,62581,65.4314568152
1347464,7932,31.24398,-86.46015,51098,43794,32431,46.1990035007
2818242,103127,31.013011,-86.350273,45465,36849,45634,129.8286382827
2579767,0,31.264957,-88.028369,67392,48713,54529,74.1313816907
8463711,104846,32.788282,-86.876651,43767,30427,38304,210.190639929
6869817,0,33.455197,-86.922633,48074,39817,37964,1376.6511796411
361044263,105325210,30.668426,-88.100226,53330,38231,50855,51243.6483693845
15525177,37270,34.488302,-87.282707,42079,28180,39942,1081.0546746134
42811752,53102,34.743692,-87.633774,60729,49109,48170,3371.9847849415
3010370,6872,32.591672,-87.535614,32466,17389,31851,56.3313177266
43353277,1016012,33.257975,-87.59647,62410,54115,47114,5311.5376828853
154497144,2388300,32.660739,-85.37889,55199,40430,48856,7259.6678983262
1858530,3231,32.946819,-88.262264,22603,6190,29054,9.998088877
72497364,325619,32.461669,-85.025021,86605,79218,52491,695.8472292244
64250372,132799,32.579539,-86.454318,63066,57698,41175,949.1158077103
86435482,2322045,32.461908,-86.457385,53597,39054,39602,495.251317278
25224456,268155,34.436097,-88.136515,39220,29055,33077,1046.4992935449
17703764,675339,31.352397,-86.544609,39218,25895,48015,224.0261514286
9758714,14775,33.992756,-86.500325,55127,44609,39231,87.1966609562
73566058,497598,30.854581,-88.109929,59567,52275,43545,3110.4860870904
48586750,657199,33.106882,-86.585403,63758,45844,53244,262.0860411755
17386667,69041,32.534662,-85.111341,57098,45637,48651,1326.2888047732
2403095,2825,34.39287,-87.729597,72297,300000,21067,20.9990399616
13529257,19710,33.749269,-87.046903,51907,39657,46146,690.5073125209
27817447,1526561,32.532665,-85.891993,55849,50493,42845,502.5720950614
33596548,99955,30.581533,-88.21278,55230,47636,45298,4174.7958492393
159585773,26058465,33.234404,-87.5283,55815,38843,54867,21342.4371487722
